index,Lo,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,time
219,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:45:08.200000000
220,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:45:37.000000000
221,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:46:05.800000000
222,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:46:34.600000000
223,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:47:03.400000000
224,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:47:32.200000000
225,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:48:01.000000000
226,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:48:29.800000000
227,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:48:58.600000000
228,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:49:27.400000000
229,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:49:56.200000000
230,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:50:25.000000000
231,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:50:53.800000000
232,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:51:22.600000000
233,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:51:51.400000000
234,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:52:20.200000000
235,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:52:49.000000000
236,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:53:17.800000000
237,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:53:46.600000000
238,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:54:15.400000000
239,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:54:44.200000000
240,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:55:13.000000000
241,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:55:41.800000000
242,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:56:10.600000000
243,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:56:39.400000000
244,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:57:08.200000000
245,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:57:37.000000000
246,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:58:05.800000000
247,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:58:34.600000000
248,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:59:03.400000000
249,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 01:59:32.200000000
250,2.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:00:01.000000000
251,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:00:29.800000000
252,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:00:58.600000000
253,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:01:27.400000000
254,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:01:56.200000000
255,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:02:25.000000000
256,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:02:53.800000000
257,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:03:22.600000000
258,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:03:51.400000000
259,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:04:20.200000000
260,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:04:49.000000000
261,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:05:17.800000000
262,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:05:46.600000000
263,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:06:15.400000000
264,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:06:44.200000000
265,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:07:13.000000000
266,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:07:41.800000000
267,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:08:10.600000000
268,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:08:39.400000000
269,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:09:08.200000000
270,1.0,0.0,0,0,1.0,0,0,0,0.0,0,0,0 days 02:09:37.000000000
